time               , lat     , lon      , day_cos           , day_sin             , grad_ssh     , lat_scaled, lon_scaled, mlotst   , month_cos, month_sin              , okubo_weiss   , so       , ssrd     , thetao   , uo        , vo        , vorticity     , zos       , uo_lag3   , vo_lag3   , mlotst_lag3, zos_lag3  , thetao_lag3, so_lag3  , ssrd_lag3 , uo_lag7   , vo_lag7   , mlotst_lag7, zos_lag7  , thetao_lag7, so_lag7  , ssrd_lag7, chlor_a_log10
1999-12-07 00:00:00, 8.666667, 70.083336, 0.9142437912130223, -0.4051645224207563 , 7.727371e-07 , -0.6333333, -0.7095237, 2.7406008,       1.0, -2.4492935982947064e-16, -8.097711e-13 , 36.024048, 10.638365, 28.553698, 0.18005921, 0.25696585, -1.5152425e-06, 0.2679525 , 0.32227546, 0.25330362,   2.6901124, 0.2624592 ,   28.4973  , 36.1095  ,  7.7550926, 0.286874  , 0.17456588,   2.7601035, 0.25269327,   28.967527, 36.362804,  6.813457, -0.8561583516607865
1999-12-10 00:00:00, 8.666667, 70.083336, 0.9339267592294762, -0.3574644155648614 , 7.062259e-07 , -0.6333333, -0.7095237, 2.9685512,       1.0, -2.4492935982947064e-16, 1.782244e-14  , 35.97827 ,  8.971204, 28.605701, 0.07324442, 0.27771842, 8.652264e-07  , 0.27802363, 0.18005921, 0.25696585,   2.7406008, 0.2679525 ,   28.553698, 36.024048, 10.638365 , 0.3277688 , 0.24353771,   2.7980034, 0.2743614 ,   28.564684, 36.173588,  7.885926, -0.8587132259381451
1999-12-12 00:00:00, 8.666667, 70.083336, 0.9456701548465688, -0.3251276029999093 , 6.4478667e-07, -0.6333333, -0.7095237, 2.9763603,       1.0, -2.4492935982947064e-16, -2.4930112e-12, 35.99048 , 10.866852, 28.621815, 0.0634785 , 0.23804438, 1.6876605e-06 , 0.2807703 , 0.08484146, 0.21118808,   2.8164282, 0.2783288 ,   28.579332, 35.99353 ,  8.971636 , 0.25086215, 0.28992584,   2.6478019, 0.26093325,   28.582994, 36.097294,  8.817994, -0.8715005593554982
1999-12-17 00:00:00, 8.666667, 70.083336, 0.9701046827361175, -0.2426868445825954 , 5.31841e-07  , -0.6333333, -0.7095237, 2.9285629,       1.0, -2.4492935982947064e-16, -4.489722e-12 , 36.031677,  8.762315, 28.876705, 0.18127994, 0.14099552, 2.4221365e-06 , 0.28199103, 0.13428144, 0.16907254,   2.912109 , 0.27802363,   28.711905, 35.995056,  9.161389 , 0.07324442, 0.27771842,   2.9685512, 0.27802363,   28.605701, 35.97827 ,  8.971204, -0.8078940560985539
1999-12-23 00:00:00, 8.666667, 70.083336, 0.9899462489023779, -0.14144406768794202, 7.26289e-07  , -0.6333333, -0.7095237, 3.1986427,       1.0, -2.4492935982947064e-16, 1.910242e-12  , 36.123234, 10.214476, 28.802729, 0.20752586, 0.27710807, -2.777132e-06 , 0.29999694, 0.17639698, 0.18005921,   3.1209605, 0.28748435,   28.8811  , 36.146122, 10.287593 , 0.08239998, 0.22217475,   2.7886622, 0.2826014 ,   28.854   , 36.010315,  9.089074, -0.8794218096242649
